"ADM2_FR","population","pop_malade"
"Bamboutos",385835.34375,44484.88671875
"Bénoué",1660537.5,383796.15625
"Boumba-et-Ngoko",157055.03125,59080.38671875
"Boyo",135210.3125,19427.763671875
"Bui",261324.828125,30354.27734375
"Diamaré",1148280.125,290268.46875
"Dja-et-Lobo",288213.125,133809.265625
"Djérem",220538.625,69017.1015625
"Donga-Mantung",264373.96875,49565.48828125
"Fako",876637.75,130779.4296875
"Faro",129807.53125,33566.9375
"Faro-et-Déo",144984.078125,42024.3046875
"Haut-Nkam",145899.796875,21134.685546875
"Haut-Nyong",263090.9375,102214.4375
"Haute-Sanaga",167203.234375,59490.94921875
"Hauts-Plateaux",226747.359375,26577.6171875
"Kadey",377962,159129.484375
"Koung-Khi",186699.546875,22540.421875
"Kupe-Manenguba",122673.953125,23992.130859375
"Lebialem",55533.953125,9195.759765625
"Lekié",508737.59375,193477.28125
"Logone-et-Chari",1242932.625,166123.21875
"Lom-et-Djérem",709953,187149.328125
"Manyu",177513.640625,53150.03125
"Mayo-Banyo",229333.84375,70756.21875
"Mayo-Danay",938678.8125,216286.390625
"Mayo-Kani",627903.625,196968.96875
"Mayo-Louti",688000.375,220475.90625
"Mayo-Rey",950980.875,144871.828125
"Mayo-Sava",504002.90625,101195.46875
"Mayo-Tsanaga",885110.3125,213065.78125
"Mbam-et-Inoubou",285894.03125,84235.9453125
"Mbam-et-Kim",218745.203125,77044.34375
"Mbéré",302816.8125,52413.55859375
"Mefou-et-Afamba",809816.75,214465.140625
"Mefou-et-Akono",201673.90625,63653.50390625
"Meme",411473.6875,81593.296875
"Menchum",120119.0234375,27132.57421875
"Menoua",466846.15625,61925.13671875
"Mezam",435743.46875,53293.84765625
"Mfoundi",2532759.75,419992.78125
"Mifi",410890.21875,38288.85546875
"Momo",136366.84375,26359.03515625
"Moungo",609733.8125,100519.3515625
"Mvila",288827.5,107360.78125
"Ndé",179968.34375,27542.615234375
"Ndian",121532.2265625,27974.947265625
"Ngo-Ketunjia",151934.265625,21111.533203125
"Nkam",60531.3046875,14771.46875
"Noun",740401.625,152230.5625
"Nyong-et-Kellé",158514.4375,81528.9609375
"Nyong-et-Mfoumou",176711.75,63305.57421875
"Nyong-et-So'o",147554.296875,52847.8671875
"Océan",285969.78125,101758.9296875
"Sanaga-Maritime",294058.78125,119856.9453125
"Vallée-du-Ntem",137820.546875,52064.35546875
"Vina",751573.5,109110.75
"Wouri",3491841.25,493400.28125
