"ADM2_FR","population"
"Bamboutos",385835.34375
"Bénoué",1660550.125
"Boumba-et-Ngoko",157055.03125
"Boyo",135210.3125
"Bui",261324.828125
"Diamaré",1148280.125
"Dja-et-Lobo",288213.125
"Djérem",220538.625
"Donga-Mantung",264375.25
"Fako",876943.375
"Faro",129821.7734375
"Faro-et-Déo",144984.453125
"Haut-Nkam",145899.796875
"Haut-Nyong",263090.9375
"Haute-Sanaga",167203.234375
"Hauts-Plateaux",226747.359375
"Kadey",378009.5625
"Koung-Khi",186699.546875
"Kupe-Manenguba",122673.953125
"Lebialem",55533.953125
"Lekié",508737.59375
"Logone-et-Chari",1243059
"Lom-et-Djérem",710139.1875
"Manyu",177513.640625
"Mayo-Banyo",229434.953125
"Mayo-Danay",938678.8125
"Mayo-Kani",627903.625
"Mayo-Louti",688184.625
"Mayo-Rey",951011.0625
"Mayo-Sava",504155.90625
"Mayo-Tsanaga",885310.3125
"Mbam-et-Inoubou",285894.03125
"Mbam-et-Kim",218745.203125
"Mbéré",302821.65625
"Mefou-et-Afamba",809816.75
"Mefou-et-Akono",201673.90625
"Meme",411473.6875
"Menchum",120140.9921875
"Menoua",466846.15625
"Mezam",435743.46875
"Mfoundi",2532759.75
"Mifi",410890.21875
"Momo",136366.84375
"Moungo",609733.8125
"Mvila",288827.5
"Ndé",179968.34375
"Ndian",121771.1875
"Ngo-Ketunjia",151934.265625
"Nkam",60531.3046875
"Noun",740401.625
"Nyong-et-Kellé",158514.4375
"Nyong-et-Mfoumou",176711.75
"Nyong-et-So'o",147554.296875
"Océan",285969.78125
"Sanaga-Maritime",294147.53125
"Vallée-du-Ntem",137820.546875
"Vina",751573.5
"Wouri",3491921.25
